node1,node2
Hwang River 5,Hwang River 6
Deokgye Stream,Hoeya River 1
Hoeya River 1,Hoeya River 2
Hoeya River 2,Hoeya River 3
Hoe Stream 3,Hoe Stream 2
Hoe Stream 2,Daega Stream 3
Daega Stream 3,Hoe Stream 1
Hoe Stream 1,Daega Stream 2
Daega Stream 2,Daega Stream 1
Gaya Stream,Hoe Stream 2
Gap Stream 2,Gap Stream 3
Gap Stream 3,Gap Stream 4
Gap Stream 4,Yudeung Stream 7
Gap Stream 4,Gap Stream 5
Gap Stream 5,Gap Stream 6
Gap Stream 6,Gap Stream 7
Yudeung Stream 7,Daejeon Stream 4
Daejeon Stream 4,Daejeon Stream 3
Daejeon Stream 3,Daejeon Stream 2
Daejeon Stream 2,Daejeon Stream 1
Yudeung Stream 7,Yudeung Stream 3
Seokseong Stream 1,Seokseong Stream 2
Seokseong Stream 2,Seokseong Stream 3
Seokseong Stream 3,Seongdong
Seokseong Stream 3,Buyeo 2
Buyeo 2,Buyeo 1
Buyeo 1,Buyeo
Buyeo,Jeongdong
Buyeo,Ji Stream 2
Buyeo,Ji Stream 1
Buyeo,Gongju 2
Gongju 2,Mokmyeon
Mokmyeon,Yugu Stream
Yugu Stream,Gongju 2
Geum River,Gongju 2
Geum River,Gongju 1
Geum River,Gom Naru
Gongju 1,Jeongan Stream
Geum River,Sejong 2
Sejong 2,Yeongi
Sejong 2,Yongsu Stream 1
Yongsu Stream 1,Yeongi
Yeongi,Yongsu Stream 2
Daegyo Stream 1,Daegyo Stream 2
Daegyo Stream 2,Yeongi
Daegyo Stream 2,Yongsu Stream 2
Eunsan Stream,Ji Stream 1
Eunsan Stream,Ji Stream 2
Eunsan Stream,Jeongdong
Eunsan Stream,Buyeo
Ungcheon Stream 2,Ungcheon Stream 1
Gwangcheon Stream,Daecheon Stream
Pangyo Stream,Ungcheon Stream 2
Pangyo Stream,Ungcheon Stream 1
Ganggyeong,Sanbuk Stream
Sanbuk Stream,Yanghwa
Yanghwa,Geum River Gate
Gilsan Stream 1,Gilsan Stream 2
Gilsan Stream 2,Geum River Gate
Noseong Stream 1,Noseong Stream 2
Noseong Stream 2,Nonsan Stream 3
Nonsan Stream 3,Bangchuk Stream
Bangchuk Stream,Ganggyeong Stream
Ganggyeong Stream,Nonsan Stream 4
Masan Stream,Nonsan Stream 4
Masan Stream,Sucheol Stream
Masan Stream,Bangchuk Stream
Yeonsan Stream,Nonsan Stream 2
Nonsan Stream 2,Nonsan Stream 1
Daecheong,Yongho Stream
Yongho Stream,Daecheong Dam
Daecheong Dam,Hoein Stream
Daecheong Dam,Juwon Stream
Daecheong Dam,Okcheon Stream
Okcheon Stream,Chupung Stream
Chupung Stream,Sanggok Stream
Iwon,Okcheon
Iwon,Usan
Usan,Okcheon
Baek Stream,Bu River
Bu River,Sejong 1
Dangjin Stream 1,Dangjin Stream 2
Dongjin River 1,Yongho Stream
Yongho Stream,Dongjin River 2
Dongjin River 2,Jeongeup Stream 4
Jeongeup Stream 1,Jeongeup Stream 4
Jeongeup Stream 2,Cheonwon Stream
Jeongeup Stream 2,Jeongeup Stream 3
Jeongeup Stream 3,Cheonwon Stream
Jeongeup Stream 2,Jeongeup Stream 4
Jeongeup Stream 4,Dongjin River 3
Dongjin River 3,Wonpyeong Stream 1
Dongjin River 3,Wonpyeong Stream 2
Wonpyeong Stream 1,Wonpyeong Stream 2
Gobu Stream 2,Dongjin River 3
Gobu Stream 2,Gobu Stream 3
Gobu Stream 3,Gobu Stream 1
Wonpyeong Stream 3,Sinpyeong Stream
Wonpyeong Stream 3,Wonpyeong Stream 2
Sam Stream 1,Sam Stream 2
Sam Stream 2,Sam Stream 3
Jeonju Stream 1,Soyang Stream 2
Soyang Stream 1,Soyang Stream 2
Gosan,Soyang Stream 2
Soyang Stream 2,Sam Stream 3
Jeonju Stream 7,Iksan Stream 3
Iksan Stream 3,Iksan Stream 2
Iksan Stream 2,Iksan Stream 1
Mujunamdae Stream 1,Mujunamdae Stream 2
Mujunamdae Stream 2,Mujunamdae Stream 3
Mujunamdae Stream 3,Mujunamdae Stream 1
Miho River 10,Miho River 9
Miho River 10,Wolha Stream
Miho River 10,Jo Stream 2
Wolha Stream,Jo Stream 2
Jo Stream 2,Jo Stream 1
Miho River 9,Miho River 8
Miho River 9,Musim Stream 3
Miho River 9,Musim Stream 2
Musim Stream 2,Musim Stream 1
Miho River 8,Byeongcheon Stream 2
Seoknam Stream,Miho River 7
Miho River 7,Byeongcheon Stream 2
Byeongcheon Stream 2,Byeongcheon Stream 1
Yongdu Stream,Byeongcheon Stream 2
Seoknam Stream,Musim Stream 3
Musim Stream 3,Miho River 6
Miho River 6,Seongam Stream
Miho River 6,Miho River 5
Bogang Stream 1,Bogang Stream 2
Bogang Stream 2,Miho River 5
Bogang Stream 1,Miho River 5
Miho River 5,Miho River 4
Miho River 4,Miho River 3
Miho River 3,Chopyeong Stream
Miho River 5,Baekgok Stream 2
